Latitude,Longitude,Street Address,Suburb,Postcode,Region,Bedrooms,Bathrooms,Parking Spaces,Property Type,Price,Listing Id,Title,Date Sold,Modified Date
-38.27607,144.48549,6 Corymbia Circuit,Barwon Heads,3227,bellarine_peninsula,3,2,2,house,"$1,255,000 ",129714950,Luxurious Coastal Lifestyle Awaits,2018/11/6,2018/11/6 ионГ 02:00:19
-38.23816,144.54558,9 La Bella Street,Ocean Grove,3226,bellarine_peninsula,4,2,2,house,"$725,000 ",129219294,Laid Back Family Living In An Idyllic Location,2018/11/6,2018/11/6 ионГ 04:01:41
-37.63839,144.9227,26 Greensted Grove,Roxburgh Park,3064,melbourne___northern_region,4,2,2,house,"$670,000 ",129517974,Oversized & park-facing,2018/11/6,2018/11/6 ионГ 02:37:57
-38.12184,144.33248,80 Calvert Street,Hamlyn Heights,3215,null,3,2,1,house,"$600,000 ",129640018,Cherished Family Home In Leafy Hamlyn Heights,2018/11/6,2018/11/6 ионГ 02:00:19
-38.12907,144.32364,295 Church Street,Herne Hill,3218,bellarine_peninsula,3,1,2,house,"$520,000 ",129459426,Potential Plus,2018/11/6,2018/11/6 ионГ 02:00:17
-38.6618,143.85815,42 Ridge Drive,Kennett River,3234,south_western_region,3,2,3,house,"$515,000 ",129671886,RELAXED COASTAL LIFESTYLE,2018/11/6,2018/11/6 ионГ 02:00:19
-38.03264,144.38385,16 Yoorok Drive,Lara,3212,south_west_melbourne,3,1,1,house,"$460,000 ",129206754,"PERFECT INVESTMENT, PERFECT HOME!",2018/11/6,2018/11/6 ионГ 06:12:30
-38.0169,145.34791,16 Casey Drive,Berwick,3806,south_east_melbourne,5,4,3,house,"$1,935,000 ",129531046,Living the High Life!,2018/11/5,2018/11/5 ионГ 02:00:12
-38.46845,143.77837,110 Rowlands Road,Barwon Downs,3243,south_western_region,3,1,2,farmlet,"$1,500,000 ",7989582,Commanding views on two titles,2018/11/5,2018/11/6 ионГ 02:00:04
-37.91007,145.12401,42 Glenbrook Avenue,Clayton,3168,south_east_melbourne,5,2,2,house,"$1,400,000 ",129472962,5 Bedroom House! Walk to Monash University!,2018/11/5,2018/11/5 ионГ 02:00:12
-38.37578,144.78674,119 Canterbury Jetty Road,Rye,3941,mornington_peninsula,3,3,3,house,"$1,300,000 ",129457330,This house just keeps on going! Self-contained area and extreme quality throughout.,2018/11/5,2018/11/5 ионГ 02:00:11
-37.76286,145.32881,5 Joel Place,Mooroolbark,3138,eastern_melbourne,5,2,2,house,"$990,000 ",129326010,Modern Family Luxury with Sweeping Views,2018/11/5,2018/11/6 ионГ 01:31:20
-37.57056,144.7326,98 Yellowgum Boulevard,Sunbury,3429,western_region,4,3,5,house,"$920,000 ",129411842,MASTERPIECE OF LUXURY AND PERFECTION!,2018/11/5,2018/11/5 ионГ 02:00:11
-37.77368,145.27888,6 Albury Court,Croydon North,3136,eastern_melbourne,4,2,2,house,"$885,000 ",129608274,Spacious & Immaculate Family Living,2018/11/5,2018/11/6 ионГ 02:00:19
-37.74236,144.99873,37 Bruce Street,Preston,3072,melbourne___northern_region,3,1,1,house,"$855,000 ",129537922,Corner The Opportunity!!,2018/11/5,2018/11/5 ионГ 02:00:12
-37.75439,144.75486,27 Torowatta Place,Burnside,3023,western_melbourne,5,3,2,house,"$855,000 ",129600034,Bring the family & turn this huge house into a luxurious home.,2018/11/5,2018/11/5 ионГ 02:00:13
-38.09639,145.94062,26 Platts Road,Buln Buln,3821,gippsland,4,2,6,house,"$835,000 ",128807198,Entertainers Delight with Country Charm,2018/11/5,2018/11/5 ионГ 05:16:45
-37.75071,144.85421,17 Rim Cross Drive,Avondale Heights,3034,north_west_melbourne,3,2,1,house,"$735,000 ",129536222,AUCTION THIS SAT AT 11:00AM,2018/11/5,2018/11/6 ионГ 02:00:18
-37.58997,144.89278,38 Montreal Circuit,Craigieburn,3064,melbourne___northern_region,5,2,2,house,"$730,000 ",128223926,SOLD BY TEAM SKAD !!,2018/11/5,2018/11/6 ионГ 02:00:10
-37.58997,144.89278,38 Montreal CCT,Craigieburn,3064,melbourne___northern_region,5,2,2,house,"$730,000 ",128762870,SOLD BY TEAM SKAD !! MORE PROPERTIES WANTED!!,2018/11/5,2018/11/6 ионГ 02:00:11
-37.53263,143.92275,5 Brooklyn Court,Brown Hill,3350,western_region,4,2,2,house,"$670,000 ",129371194,Architecturally Designed,2018/11/5,2018/11/6 ионГ 02:00:16
